_id,video_id,video_title,video_description,video_tag,video_length,video_likes,channel_title,__v
67543aa92442a0b834eca2c5,F818uVYmCnI,Chest workout at home 4×12 set araları 45 sn Abone olup beğenmeyi unutmayın beraber spor yapalım 👍🏻,Göğüs idmanına ilk önce güzel bir ısınma hareketleri ile başlayın üst göğüs ile başlayıp alt göğüs ile bitirin Max 10 tekrar ...,가슴 홈트레이닝 | Chest Home Training,46,9,Bodybuilding At Home ,0
67543aa92442a0b834eca2c6,9EhQ0xLYEiA,#diet#hometraining#가슴운동                    [직장인다이어트]홈트 가슴운동/덤벨5kg 3종류 ×25개x4세트,,가슴 홈트레이닝 | Chest Home Training,7,1,FIRE,0
67543aa92442a0b834eca2c8,IaZzED6hZuc,[SHOULDER BELL] chest workout 4min tabata home training / [숄더벨] 가슴운동 4분 타바타 홈트레이닝,,가슴 홈트레이닝 | Chest Home Training,279,0,숄더벨,0
67543aa92442a0b834eca2ca,hkiilDJYM7c,#home #motivation #30dayschallengeworkoutathome #motivational #chest #30daysworkoutchallenge #should,,가슴 홈트레이닝 | Chest Home Training,7,18,Gym motivation ,0
67543aa92442a0b834eca2cb,AJ0i5DhqRP8,Chest Home Workout💪,,가슴 홈트레이닝 | Chest Home Training,8,0, fitness videos,0
67543aa92442a0b834eca2cc,kjW3j-O1yt8,집에서 드웨인 존슨 가슴 만들기 - Home Training Chest,집에서 운동하기로도 큰 무게를 드는 효과를 낼 수 있다!,가슴 홈트레이닝 | Chest Home Training,674,7,Vancouver Grizzly- 밴쿠버 그리즐리,0
67543aa92442a0b834eca2ce,QdT-Bgmp2u4,Best Chest Home Workout (Dumbbells Only),Join Chris Heria for Best Chest Home Workout. Follow along with only a pair of dumbbells in combination with the right ...,가슴 홈트레이닝 | Chest Home Training,716,123561,CHRIS HERIA,0
67543aa92442a0b834eca2cf,4HYJpXs6rWg,STOP training your TRICEPS like this!,"Alright quick tip, when you're doing rope tricep pushdowns, don't grab onto the top of the rope, cuz this causes you to use more of ...",가슴 홈트레이닝 | Chest Home Training,16,84174,Max Euceda,0
67543aa92442a0b834eca2d0,mcxtFRpZF3I,The Best Chest &amp; Triceps Home Workout,Join Chris for The Best Chest & Triceps Home Workout. Follow along and get a super-effective workout without the need for ...,가슴 홈트레이닝 | Chest Home Training,659,35224,CHRIS HERIA,0
67543aa92442a0b834eca2d1,ajJteu4fB7A,"Best home workout for chest ,biceps and triceps no equipment for beginners |#shorts #youtubeshorts",Best home workout for chest and triceps without equipment for beginners. Build your chest without equipment for beginners.,가슴 홈트레이닝 | Chest Home Training,9,281,Home workout ,0
67543aa92442a0b834eca2d2,pMwFIWdlMAQ,full sholder home workout plan 💪#workout #shoulder #chest #sixpack #back #sholderworkout,"Please do not give a fake copyright Strike otherwise you will be legal prosecuted cyber police Delhi, IP expert Mumbai copyright ...",가슴 홈트레이닝 | Chest Home Training,6,0,Fitness Club,0
67543aa92442a0b834eca2d3,Dy-JJAU2EkQ,Top 6 Beginner Exercises To Reduce Chest Fat &amp; Man Boobs In 1 Week At Home,Here are beginner exercises you can do to reduce and get rid of chest fat at home in 1 week! Chest fat and man boobs can be ...,가슴 홈트레이닝 | Chest Home Training,553,67622,The Gainz Center,0
67543aa92442a0b834eca2d4,JPkLaa24Ouo,Chest &amp; Shoulders - Home Training EP 3 // 가슴 &amp; 어깨 운동 - 홈트 시리즈 3편,"I got some feedback saying that they wanted the exercises shown in real time instead of sped up, so that they could do the ...",가슴 홈트레이닝 | Chest Home Training,269,8,Tracking Pete,0
67543aa92442a0b834eca2d5,Rd5pI9vp1hA,Brendan Meyers | HOME Chest Workout for SHREDDED Chest! (CalAesthetics Training) | Brendan Meyers,Final Day To Get VIP Access to BCutBody! ▻ http://www.bcutbody.com SUBSCRIBE to my channel! http://bit.ly/subBM Get in the ...,가슴 홈트레이닝 | Chest Home Training,336,9078,Brendan Meyers,0
67543aa92442a0b834eca2d6,zCPTKjxMm14,덤벨 벤치프레스는 어깨를 조심! #shorts #fitboon #hometraining #홈트레이닝 #홈트  #덤벨벤치프레스 #핏분 #가슴운동,shorts #fitboon #핏분 #hometraining #홈트레이닝 #홈트 #덤벨벤치프레스 #가슴운동 #어깨통증 #홈트루틴 #가슴운동루틴 홈 ...,가슴 홈트레이닝 | Chest Home Training,31,0,핏분 FITBOON,0
67543aa92442a0b834eca2d7,Kx9kaP8NQcY,"어깨, 가슴 근력 홈트레이닝. 준비물-물통",홈트#홈트레이닝#근육홈트 일반인이 쉽게 이해하고 따라할수 있는 운동 채널입니다.,가슴 홈트레이닝 | Chest Home Training,504,13,랭콩,0
67543aa92442a0b834eca2d8,rlcBZ-YsG8A,FAST CHEST + ABS WORKOUT at home with trainer tips - Ultimate killer training by P4P,Watch our Best of videos playlist http://bit.ly/2QiCD6z Subscribe to our channel http://bit.ly/2Nx4u01 Training Ab and Chest ...,가슴 홈트레이닝 | Chest Home Training,684,16686,Passion4Profession,0
67543aa92442a0b834eca2d9,Erz1hL0Broc,Best Home Chest Workout💪⚡️,Best Home Chest Workout.,가슴 홈트레이닝 | Chest Home Training,17,48,Jabir Vigour,0
67543aa92442a0b834eca2da,p8bGBbkfWsc,"최고의 효율,한가지 동작으로 전신 해결🔥 #홈트레이닝 #hometraining #트레이닝 #홈트 #다이어트 #diet",,가슴 홈트레이닝 | Chest Home Training,7,158,원동력,0
67543aa92442a0b834eca2db,o21NtjC6N5s,Prime Variations Chest 💪🏻,Prime Variations: Chest Chest Training Tips 1️⃣ Barbell Flat Bench Press (Gym) Dumbbell Floor Press (Home) 2️⃣ ...,가슴 홈트레이닝 | Chest Home Training,34,220,FIT DESIGN PRIME ,0
67543aa92442a0b834eca2dc,bdv55iDSHnw,Insane Chest Definition! Next-Level Gains You Can’t Ignore! 🔥💪 #ShortVideo #FeedShorts#youtubeshorts,Walk Ronney coleman फिटनेस Фитнес 피트니스 Kebugaran Fitnessstudio Entraînement 体能 Ejercicio Forma física ...,가슴 홈트레이닝 | Chest Home Training,16,36,ULTIMATE UPLIFT STUDIO,0
67543aa92442a0b834eca2dd,awewWiNiqJM,Chest workout at home. Insane pump for chest   Home workout series part 1 #homeworkout #motivation,Chest workout at home. Insane pump for chest Home workout series part 1 #homeworkout #motivationChest workout at home.,가슴 홈트레이닝 | Chest Home Training,58,0,FIT CHALLENGERS,0
67543aa92442a0b834eca2de,wNs_azIn8DA,Grow your chest and back #remix #yoga #chest,,가슴 홈트레이닝 | Chest Home Training,6,341,Gym for home ,0
